Title,Year,Rating,Votes
1. The Shawshank Redemption,1994,9.3,2.9
2. The Godfather,1972,9.2,2
3. The Dark Knight,2008,9.0,2.9
4. The Godfather Part II,1974,9.0,1.4
5. 12 Angry Men,1957,9.0,873
6. Schindler's List,1993,9.0,1.5
7. The Lord of the Rings: The Return of the King,2003,9.0,2
8. Pulp Fiction,1994,8.9,2.2
9. The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2
"10. The Good, the Bad and the Ugly",1966,8.8,816
11. Forrest Gump,1994,8.8,2.3
12. The Lord of the Rings: The Two Towers,2002,8.8,1.8
13. Fight Club,1999,8.8,2.3
14. Inception,2010,8.8,2.6
15. Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1.4
16. The Matrix,1999,8.7,2.1
17. Goodfellas,1990,8.7,1.3
18. One Flew Over the Cuckoo's Nest,1975,8.7,1.1
19. Se7en,1995,8.6,1.8
20. Interstellar,2014,8.7,2.1
21. It's a Wonderful Life,1946,8.6,502
22. Seven Samurai,1954,8.6,369
23. The Silence of the Lambs,1991,8.6,1.6
24. Saving Private Ryan,1998,8.6,1.5
25. City of God,2002,8.6,806
26. Life Is Beautiful,1997,8.6,748
27. The Green Mile,1999,8.6,1.4
28. Terminator 2: Judgment Day,1991,8.6,1.2
29. Star Wars: Episode IV - A New Hope,1977,8.6,1.5
30. Back to the Future,1985,8.5,1.3
31. Spirited Away,2001,8.6,858
32. The Pianist,2002,8.5,920
33. Dune: Part Two,2024,8.6,460
34. Parasite,2019,8.5,973
35. Psycho,1960,8.5,723
36. Gladiator,2000,8.5,1.6
37. Spider-Man: Across the Spider-Verse,2023,8.6,382
38. The Lion King,1994,8.5,1.2
39. The Departed,2006,8.5,1.4
40. Léon: The Professional,1994,8.5,1.3
41. American History X,1998,8.5,1.2
42. Whiplash,2014,8.5,1
43. The Prestige,2006,8.5,1.5
44. Grave of the Fireflies,1988,8.5,314
45. Harakiri,1962,8.6,70
46. The Usual Suspects,1995,8.5,1.2
47. Casablanca,1942,8.5,609
48. The Intouchables,2011,8.5,936
49. Cinema Paradiso,1988,8.5,285
50. Modern Times,1936,8.5,261
51. Rear Window,1954,8.5,526
52. Once Upon a Time in the West,1968,8.5,351
53. Alien,1979,8.5,958
54. City Lights,1931,8.5,197
55. Django Unchained,2012,8.5,1.7
56. Apocalypse Now,1979,8.4,715
57. Memento,2000,8.4,1.3
58. WALL·E,2008,8.4,1.2
59. 12th Fail,2023,8.9,120
60. Raiders of the Lost Ark,1981,8.4,1
61. The Lives of Others,2006,8.4,413
62. Sunset Boulevard,1950,8.4,238
63. Avengers: Infinity War,2018,8.4,1.2
64. Paths of Glory,1957,8.4,214
65. Spider-Man: Into the Spider-Verse,2018,8.4,680
66. Witness for the Prosecution,1957,8.4,139
67. The Shining,1980,8.4,1.1
68. The Great Dictator,1940,8.4,239
69. Aliens,1986,8.4,768
70. Inglourious Basterds,2009,8.4,1.6
